name,stars,city,state_name,party,education,salary,median_rent_2025_10_31,population_density
St Honore Pastries,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Caviar & Bananas,3.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Wawa,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Helena Avenue Bakery,4.0,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
Mike's Ice Cream,4.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
McDonald's,1.5,St. Louis,Missouri,Democrat,46.7,55279.0,,1943.0
ReAnimator Coffee,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Red Hook Coffee & Tea,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Cafe Con Leche,2.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Nesbit's Magazine Street Market,5.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
The Hideout Coffee House,4.5,Brandon,Florida,Republican,39.6,77068.0,1944.9896640826876,
McDonald's,1.5,Lansdale,Pennsylvania,Democrat,55.4,86460.0,1966.2497212931996,
The Silo Eatery Coffee Bakery,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Liberty City Roasters,4.5,Bristol,Pennsylvania,Republican,,70595.0,1622.25,
McDonald's,2.0,Pennsville,New Jersey,Republican,,75162.0,,
Local Links,4.5,Haddon Heights,New Jersey,Democrat,38.8,126055.0,,
NY Bagel Cafe & Deli,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,1.5,St. Louis,Missouri,Democrat,46.7,55279.0,,1943.0
NY Bagel & Deli Shop,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
The Bricks,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Dunkin',2.0,Pinellas Park,Florida,Republican,38.5,62043.0,2039.4087024087028,
Barista Cafe,4.5,Palmyra,New Jersey,Democrat,42.1,85014.0,2137.5,
Dunkin' Donuts,2.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Cafe Victoria's,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Starbucks,3.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Bagelicious and More,3.5,Brandon,Florida,Republican,39.6,77068.0,1944.9896640826876,
State Street Kitchen,4.5,Newtown,Pennsylvania,Republican,45.2,146765.0,2431.944444444445,
Wawa,3.5,Media,Pennsylvania,Democrat,44.4,86219.0,1922.0873015873012,
McDonald's,2.0,Brandon,Florida,Republican,39.6,77068.0,1944.9896640826876,
McDonald's,1.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Hippie Hi,4.0,Clearwater,Florida,Republican,38.5,64440.0,1956.247155052128,1727.0
Dune Coffee Roasters - Anacapa,4.0,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
365 Caffe Italiano,4.5,Wesley Chapel,Florida,Republican,31.3,107004.0,2225.93855222764,
Dunkin',2.0,Brandon,Florida,Republican,39.6,77068.0,1944.9896640826876,
De Ville Coffee House & Creperie,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Edgehill Cafe,3.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
7-Eleven,2.0,Sparks,Nevada,Democrat,37.3,86979.0,1964.762212770985,
McDonald's,2.0,Fishers,Indiana,Republican,62.7,128141.0,1951.650886475448,
Wawa,3.5,Norristown,Pennsylvania,Democrat,55.4,65058.0,1698.5733057280884,
Edgehill Cafe,4.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Capitol Cellars,4.0,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
The flagpole Nola,5.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Dunkin',3.0,Delran,New Jersey,Democrat,,91000.0,,
Cocco's Gelateria,4.5,Primos,Pennsylvania,Democrat,,60698.0,,
Dunkin',3.5,Cherry Hill,New Jersey,Democrat,38.8,91000.0,2419.9864433811804,
Wawa,3.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Cosi,2.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Kávé Express,4.5,Hendersonville,Tennessee,Republican,35.1,91503.0,1604.2083028083027,
Dunkin',2.5,Riverview,Florida,Republican,39.6,95442.0,2171.145685305324,
Starbucks,4.5,Cinnaminson,New Jersey,Democrat,,91000.0,,
Stardust Tea Spices and Beads,4.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Eagles Peak Spring Water,2.0,Fountainville,Pennsylvania,Republican,,60698.0,,
Palo De Azucar Cafe,5.0,Trenton,New Jersey,Democrat,47.3,47102.0,2197.5047619047623,
Roadrunner Coffee Co.,4.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Dunkin',2.0,Royersford,Pennsylvania,Democrat,55.4,67083.0,1867.1333333333328,
The Cubby Hole,4.5,Moorestown,New Jersey,Democrat,,91000.0,,
Monon Coffee Company,4.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Benna's West,3.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Frost & Bean Gelato & Coffee Laboratory,4.0,Dunedin,Florida,Republican,38.5,68068.0,2087.5775446775447,
Wheel Cafe,4.5,Dunedin,Florida,Republican,38.5,68068.0,2087.5775446775447,
Dunkin',2.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Treme Coffeehouse,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Krispy Kreme,3.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Basimo Beach Cafe,4.0,Clearwater,Florida,Republican,38.5,64440.0,1956.247155052128,1727.0
Starbucks,3.0,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Fray's Donut House,4.5,Saint Petersburg,Florida,Republican,,71302.0,,
Cat Therapy,4.5,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
Saige Café,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Kimberton Whole Foods - Collegeville,5.0,Collegeville,Pennsylvania,Democrat,55.4,88992.0,2583.753703703704,
Stone House Grille,4.5,Kimberton,Pennsylvania,Democrat,58.0,60698.0,,
Mood Cafe,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Wawa,3.0,Narberth,Pennsylvania,Democrat,55.4,119863.0,,
Kung Fu Tea,4.5,Cherry Hill,New Jersey,Democrat,38.8,91000.0,2419.9864433811804,
The Human Bean,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Starbucks,3.0,Gloucester Township,New Jersey,Democrat,,91000.0,,
Breakfast Club,4.5,Port Richey,Florida,Republican,31.3,45435.0,1721.7101449275362,
Dunkin',2.5,Ruskin,Florida,Republican,39.6,76402.0,2210.5286195286194,
NY Bagel Cafe & Deli,3.0,Springfield,Pennsylvania,Democrat,,60698.0,,
Vecchia Osteria,4.0,Newtown,Pennsylvania,Republican,45.2,146765.0,2431.944444444445,
McDonald's,2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
LeBuzz Caffe,4.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Starbucks,2.5,Marrero,Louisiana,Republican,31.2,45633.0,1651.5873015873017,
Cups & Chairs,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Harvest Coffee Roastery,4.0,Voorhees Township,New Jersey,Democrat,,91000.0,1815.4166666666667,
McDonald's,2.0,Sun City Center,Florida,Republican,39.6,71012.0,2150.534722222222,
Hugs & Yogurt Cafe,4.0,Willow Grove,Pennsylvania,Democrat,55.4,98402.0,2074.1666666666665,
Turning Point of North Wales,3.0,North Wales,Pennsylvania,Democrat,55.4,115833.0,1930.419047619048,
Tinker Coffee,3.5,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Alchemy Coffee,5.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
The 81 Hong Kong Cafe,4.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
McDonald's,2.5,Franklin,Tennessee,Republican,65.8,115000.0,2052.104521404521,
McDonald's,1.5,Florissant,Missouri,Democrat,46.7,66344.0,1490.5542857142857,
Anani Bistro,4.5,Gulfport,Florida,Republican,38.5,68617.0,2081.904761904762,
Wawa,2.0,Bala Cynwyd,Pennsylvania,Democrat,55.4,144453.0,,
District Donuts Sliders Brew,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Dunkin',2.0,Land O Lakes,Florida,Republican,,71302.0,2296.723625140292,
Koffee Korner Cafe,3.5,Lansdale,Pennsylvania,Democrat,55.4,86460.0,1966.2497212931996,
Capogiro Gelato,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,1.5,Woodstown,New Jersey,Republican,24.4,101855.0,,
McDonald's,1.5,Belleville,Illinois,Democrat,34.2,60529.0,1072.5014005602245,
Nectar Urban Cantina,4.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Junes Breakfast,2.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Quick Chek,2.0,Ewing,New Jersey,Democrat,,91000.0,2199.345238095238,
California Shakes & Juice Bar,5.0,Deptford Township,New Jersey,Republican,,91000.0,,
The Urban Juicer,3.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Dunkin',2.0,Sewell,New Jersey,Republican,37.6,135141.0,2450.833333333333,
Dunkin',3.5,Cherry Hill,New Jersey,Democrat,38.8,91000.0,2419.9864433811804,
The Larder,4.5,Doylestown,Pennsylvania,Republican,,93672.0,2597.1666666666665,
Capricho’s,5.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Corner Cafe,2.5,Royersford,Pennsylvania,Democrat,55.4,67083.0,1867.1333333333328,
Ann's Market,4.0,Eddystone,Pennsylvania,Democrat,44.4,53665.0,,
Ranch House Restaurant,3.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Simply Done Donuts,5.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Three Brothers Coffee,4.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
McDonald's,1.5,Belleville,Illinois,Democrat,34.2,60529.0,1072.5014005602245,
Dunkin',4.0,Springfield,Pennsylvania,Democrat,,60698.0,,
Strange Donuts,3.5,Maplewood,Missouri,Democrat,46.7,65510.0,1205.2407407407406,
The Creperie Cafe,3.5,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
Starbucks,2.5,Doylestown,Pennsylvania,Republican,,93672.0,2597.1666666666665,
Cairdeas Coffee,4.0,Saint Louis,Missouri,Democrat,,55279.0,,
McDonald's,2.5,Eddystone,Pennsylvania,Democrat,44.4,53665.0,,
J'aime French Bakery,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Pia Urban Cafe & Market,5.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
McDonald's,1.5,Marana,Arizona,Democrat,37.9,108256.0,2097.519841269841,
Panera Bread,2.5,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Coffeebar,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Old World Coffee Lab - Midtown,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Buddy Brew - Hyde Park,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Brenda's On the Causeway,4.0,Dunedin,Florida,Republican,38.5,68068.0,2087.5775446775447,
Dunkin',2.5,Bristol,Pennsylvania,Republican,,70595.0,1622.25,
Starbucks,3.5,Cherry Hill,New Jersey,Democrat,38.8,91000.0,2419.9864433811804,
Petite Clouet Cafe,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Café Aqui,5.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Starbucks,3.5,Sewell,New Jersey,Republican,37.6,135141.0,2450.833333333333,
Tinker Coffee,5.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Dunkin',2.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Brown Chicken Brown Cow,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Vientiane Café,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Frost Gelato,4.5,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Pomme Cafe & Wine Bar,3.5,Saint Louis,Missouri,Democrat,,55279.0,,
Urban Eats,4.0,Saint Louis,Missouri,Democrat,,55279.0,,
Parts Guru,3.5,Lansdale,Pennsylvania,Democrat,55.4,86460.0,1966.2497212931996,
Eet Gud Bakery,4.5,Trenton,New Jersey,Democrat,47.3,47102.0,2197.5047619047623,
Passero's Coffee Roasters,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Starbucks,2.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Kim's Cuban Sandwich Shop,4.0,Seffner,Florida,Republican,39.6,88167.0,2141.3650793650795,
Eleven Cafē,5.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Pranzo Jersey Italian Cafe,4.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Milktooth,4.0,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Smalls Tea and Coffee,5.0,Saint Louis,Missouri,Democrat,,55279.0,,
Arber Cafè,4.5,Saint Louis,Missouri,Democrat,,55279.0,,
McDonald's,1.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Starbucks,3.5,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Honeydeux,3.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
McDonald's,2.5,Hudson,Florida,Republican,31.3,49063.0,2058.958333333333,
Blue Collar Coffee Co.,3.5,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Factory Donuts,4.0,Newtown,Pennsylvania,Republican,45.2,146765.0,2431.944444444445,
Suncraft Beverages,5.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Superstitions Java,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Num Num Boba,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Vineyards Cafe,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Old Road Coffee,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
The Spark,4.5,Speedway,Indiana,Democrat,35.3,57158.0,1667.75,
Cafe Du Monde City Park,4.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Wawa,3.5,Mount Ephraim,New Jersey,Democrat,38.8,95137.0,,
Roundabout Grill,4.0,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
The Bodacious Bean,4.5,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
Living Room- Southampton,4.5,St. Louis,Missouri,Democrat,46.7,55279.0,,1943.0
7-Eleven,1.5,New Port Richey,Florida,Republican,31.3,46160.0,1753.8333333333333,
McDonald's,2.0,Fishers,Indiana,Republican,62.7,128141.0,1951.650886475448,
Tutti Frutti Frozen Yogurt,4.0,University City,Missouri,Democrat,46.7,76466.0,1582.4187134502924,
McDonald's,2.0,Morrisville,Pennsylvania,Republican,45.2,94126.0,2138.333333333333,
Wawa,2.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Safehouse,3.5,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Hackett's Causeway Cafe and Creamery,4.5,Dunedin,Florida,Republican,38.5,68068.0,2087.5775446775447,
High Brow Coffee + Tea,4.0,Franklin,Tennessee,Republican,65.8,115000.0,2052.104521404521,
The Cuban Sandwich Shop,4.5,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Josef's Vienna Bakery & Cafe,4.0,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
McDonald's,1.5,Claymont,Delaware,Democrat,38.7,75808.0,1550.7222222222224,
Mokka Kaffeehaus,3.0,Columbia,Illinois,Republican,,107922.0,,
Fa Caldo Caffe,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,1.0,Upper Darby,Pennsylvania,Democrat,,60698.0,1262.75,
Frothy Monkey,4.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Almaz Cafe,3.5,Norristown,Pennsylvania,Democrat,55.4,65058.0,1698.5733057280884,
Cafe Zoma,4.0,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
Dunkin',2.5,Kennett Square,Pennsylvania,Democrat,58.0,74259.0,2455.2000000000003,
McDonald's,1.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Dunkin',2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Fleur-De-Lis Nutrition,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Bing's Boba Tea,4.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Goody's Cafe,3.5,Terrytown,Louisiana,Republican,31.2,56944.0,,
Starbucks,3.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Deja Brew Laugh A Latte,4.5,Meridian,Idaho,Republican,46.3,98686.0,2015.2290262803235,
Slow Hand Coffee Company,4.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
McDonald's,1.5,Brandon,Florida,Republican,39.6,77068.0,1944.9896640826876,
Books-A-Million,3.5,Brandon,Florida,Republican,39.6,77068.0,1944.9896640826876,
Stanley Service Bar,4.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Cafe 29,2.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
McDonald's,1.5,Fairless Hills,Pennsylvania,Republican,45.2,80625.0,,
Orange Blossom Cafe & Bakery,3.5,Riverton,New Jersey,Democrat,42.1,126818.0,,
McDonald's,1.5,Upper Darby,Pennsylvania,Democrat,,60698.0,1262.75,
Wawa,3.0,New Castle,Delaware,Democrat,38.7,92565.0,1786.4166666666667,
McDonald's,1.5,Kennett Square,Pennsylvania,Democrat,58.0,74259.0,2455.2000000000003,
Hippie Hi,4.0,Clearwater,Florida,Republican,38.5,64440.0,1956.247155052128,1727.0
Perks Coffeehouse,4.0,Trinity,Florida,Republican,31.3,113125.0,,
McDonald's,1.5,Trenton,New Jersey,Democrat,47.3,47102.0,2197.5047619047623,
Foodwerx,4.5,Cherry Hill,New Jersey,Democrat,38.8,91000.0,2419.9864433811804,
Community Coffee Company,3.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Starbucks,4.0,Brownsburg,Indiana,Republican,37.1,105435.0,1939.3527777777776,
Bing's Boba Tea,4.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Angys’s Cafe And Ice Cream Parlor,4.5,Warminster,Pennsylvania,Republican,,60698.0,,
Sip of Saigon,5.0,Spanish Springs,Nevada,Democrat,37.3,121250.0,,
Starbucks,2.5,Penns Grove,New Jersey,Republican,24.4,43889.0,,
Naviera Coffee Mills,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Dunkin',2.5,Glendora,New Jersey,Democrat,38.8,94792.0,,
Lucky Goat Coffeehouse,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
The Centennial Cafe,3.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Trywith,4.5,Mount Laurel,New Jersey,Democrat,,91000.0,,
Cafe Fleur De Lis,4.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Healthies Fishers,4.5,Fishers,Indiana,Republican,62.7,128141.0,1951.650886475448,
Speedway,1.5,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Clusters Handcrafted Popcorn,4.5,Doylestown,Pennsylvania,Republican,,93672.0,2597.1666666666665,
McDonald's,1.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Yolklore,4.5,St. Louis,Missouri,Democrat,46.7,55279.0,,1943.0
Starbucks,3.5,Haddonfield,New Jersey,Democrat,38.8,190882.0,1900.8333333333333,
Dunkin',1.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Rolling Stars,4.0,West Chester,Pennsylvania,Democrat,58.0,81492.0,2121.137626262627,
Starbucks,2.5,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
McDonald's,1.0,Cherry Hill,New Jersey,Democrat,38.8,91000.0,2419.9864433811804,
Cabin Coffee,4.5,Avon,Indiana,Republican,37.1,80292.0,1762.1857142857143,
"Coffee, Lunch.",4.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Chateau Cafe,3.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
McDonald's,1.5,St. Louis,Missouri,Democrat,46.7,55279.0,,1943.0
Good Karma Cafe,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Chadds Cafe,5.0,Chadds Ford,Pennsylvania,Democrat,58.0,169250.0,,
7-Eleven,2.0,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Kung Fu Tea,3.5,Petersburg,Florida,Republican,,71302.0,,
Blueprint Coffee,4.5,St Louis,Missouri,Democrat,,55279.0,1297.475912635836,
Yolk - Monument Circle,3.5,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Capital One 360 Café,4.0,Wilmington,Delaware,Democrat,38.7,55269.0,1756.0830026455026,
Plat 99,4.5,Indianapolis,Indiana,Democrat,35.3,62995.0,1376.034945102525,913.0
Elevation Coffee Roasters,5.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
ICED by Betsy,5.0,Royersford,Pennsylvania,Democrat,55.4,67083.0,1867.1333333333328,
Northwest Coffee Roasting Company,3.5,Clayton,Missouri,Democrat,46.7,128898.0,1712.9682539682535,
Starbucks,2.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Sips Specialty Coffee House,4.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Bubba Tea & Cafe,3.5,Saint Louis,Missouri,Democrat,,55279.0,,
McDonald's,1.5,Sahuarita,Arizona,Democrat,37.9,100719.0,1911.47095959596,
Cafe Cioccolato,4.5,Saint Louis,Missouri,Democrat,,55279.0,,
Yvette's CountrySide Cafe,4.0,Goodlettsville,Tennessee,Republican,35.1,65898.0,1786.8333333333333,
High Point Cafe,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Buddy Brew Coffee ,4.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Flow State CoffeeBar,5.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Chateau Coffee Cafe,3.5,Kenner,Louisiana,Republican,31.2,64099.0,1663.6666666666667,
Speedway,2.5,Brownsburg,Indiana,Republican,37.1,105435.0,1939.3527777777776,
Dutch Bros Coffee,4.0,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
French Truck Coffee,4.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Wawa,2.5,Maple Shade,New Jersey,Democrat,,91000.0,,
Un Caffé Italian Bistro,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Berry Sweet Frozen Yogurt,4.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Dunkin',1.5,Saint Petersburg,Florida,Republican,,71302.0,,
Upper Nine Doughnut Company,3.5,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
City of Tucson,3.0,Tucson,Arizona,Democrat,37.9,54546.0,1468.4007810603507,904.0
Cafe Du Monde,4.5,Metairie,Louisiana,Republican,31.2,73256.0,1645.3324786324786,
McDonald's,2.0,New Orleans,Louisiana,Democrat,43.3,55339.0,1635.4273395346563,892.0
Milk and Honey Nashville,4.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
OneCupJoe,4.5,Warminster,Pennsylvania,Republican,,60698.0,,
Starbucks,4.0,Palm Harbor,Florida,Republican,38.5,75354.0,1901.0656790123455,
Goody's Soda Fountain & Candy Store,4.5,Boise,Idaho,Republican,46.3,76402.0,1769.288449703903,
Nameless Coffee & Tea House,4.5,Reno,Nevada,Democrat,37.3,78448.0,1895.051309846432,920.0
Bay City Sandwich Shop,4.5,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Starbucks,2.5,Mt. Juliet,Tennessee,Republican,,75197.0,,
Dunkin' Donuts,2.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Krispy Kreme,2.5,Smyrna,Tennessee,Republican,36.6,78409.0,1682.256728778468,
Old Town Cafe,4.5,Palm Harbor,Florida,Republican,38.5,75354.0,1901.0656790123455,
Cily Chicken Rice,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Good Cup,3.5,Santa Barbara,California,Democrat,38.6,101672.0,3646.9091098603294,
Starbucks,3.0,Carmel,Indiana,Republican,62.7,134602.0,1827.6327732974908,
Wawa,4.5,Maple Shade,New Jersey,Democrat,,91000.0,,
McDonald's,2.0,Deptford,New Jersey,Republican,,91000.0,,
Franny Lou's Porch,4.5,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
Be Well Bakery & Cafe,4.5,Richboro,Pennsylvania,Republican,45.2,153691.0,,
Cafe Du Monde,4.0,Metairie,Louisiana,Republican,31.2,73256.0,1645.3324786324786,
Frist Art Museum Cafe,4.0,Nashville,Tennessee,Democrat,51.2,75197.0,1803.1395088912257,537.0
Dunkin',2.0,Philadelphia,Pennsylvania,Democrat,36.4,60698.0,1715.4754572988052,4517.0
McDonald's,2.0,Tampa,Florida,Republican,39.6,71302.0,2011.9116084311615,1284.0
Starbucks,1.5,Mount Laurel,New Jersey,Democrat,,91000.0,,
